HEADER,Evita_20120218,
Default,1001,1101
Default Car-kit,1201,1301
Jabra Wave,1401,1501
Motorola H790,1402,1502
Jabra EasyGo,1403,1503
245Plantronics,1404,1504
Jabra EXTREME,1405,1505
PLT_M1100,1406,1506
PLT_Voyager PRO,1407,1507
HM1000,1408,1508
Jabra Stone2,1409,1509
VBT3050,1410,1510
Jawbone ICON,1411,1511
9XXBackBeat,1412,1512
Jabra Clipper,1413,1513
Jabra SP700,1414,1514
Jabra Halo,1415,1515
Motorola Finiti,1416,1516
Jabra Cruiser2,1417,1517
LG HBS-700,1418,1518
LG HBM-800,1419,1519
BlueAnt Q2 V1.1,1420,1520
Blueant V1 V5.3,1421,1521
VH700,1422,1522
MW600,1423,1523
BHM400,1424,1524
BHM300,1425,1525
JAMBOX by Jawbone,1428,1528
Samsung HM-3500,1429,1529
Motorola Roadster,1602,1702
Motorola T605,1603,1703
BMW,1604,1704,
FORD Sync,1605,1705,
Denso 03,1606,1706,
JCI Honda,1607,1707,
JCI Mazda,1608,1708,
Luxgen Pilot,1609,1709,
Parrot MK9000,1610,1710,
Porsche-HFP,1611,1711,
Audi BTA0626,1612,1712,
BMW Combox,1613,1713,
JVC KW-XR 810,1614,1714,
FORD Audio,1615,1715,
@^[0-9]{8}-CH[1-4]$,1801,1901,Metrico BT MOS
@^MT8855A [0-9]{4}$,1802,1902,VzW lab
VH700,1007,1107,
PLT_BB903+,1024,1124,
Nokia BH-505,1012,1112
Motorola S10-HD,1013,1113
HTC BH M500,1023,1123
Blueant V1 V5.3,1022,1122
Jawbone ERA,1025,1125
Nokia BH-111,1026,1126
HTC Car V100,1616,1716
Beats Wireless,1617,1717
JKDAP3264,1002,1102
JKDAP3265,1003,1103
END,,
